Trade_ID,Ticker,Status,Open_Date,Closed_Date,Shares,Avg_Entry,Avg_Exit,Total_Cost,Realized_PL,Unrealized_PL,Return_Pct,Sell_Rule,Notes,Amount,Value,Stop_Loss,Rule,Buy_Notes,Sell_Notes
202504-002,QQQ,CLOSED,4/11/25 09:30,4/15/25 16:00,33,454.21,460.81,14988.93,217.8,0,1.453072367,History,Imported,0,0,0,History,,
202504-003,HOOD,CLOSED,4/11/25 09:30,4/16/25 16:00,327,43.6,41.51,14257.2,-683.43,0,-4.793577982,History,Imported,0,0,0,History,,
202504-004,PLTR,CLOSED,4/11/25 09:30,4/16/25 16:00,225,95.6,92.53,21510,-690.75,0,-3.211297071,History,Imported,0,0,0,History,,
202504-005,TQQQ,CLOSED,4/22/25 09:30,7/11/25 16:00,1423,64.61,74.38,91940.03,13902.71,0,15.12149822,History,Imported,0,0,0,History,,
202504-006,SPOT,CLOSED,4/23/25 09:30,4/29/25 16:00,25,607.49,558.3,15187.25,-1229.75,0,-8.09725263,History,Imported,0,0,0,History,,
202504-007,DASH,CLOSED,4/23/25 09:30,5/7/25 16:00,81,186.11,184.55,15074.91,-126.36,0,-0.838213959,History,Imported,0,0,0,History,,
202504-008,HOOD,CLOSED,4/23/25 09:30,11/7/25 16:00,3045,84.29,101.1,256663.05,51186.45,0,19.94305374,History,Imported,0,0,0,History,,
202504-009,PLTR,CLOSED,4/23/25 09:30,9/4/25 16:00,1100,134.96,147.22,148456,13486,0,9.084173088,History,Imported,0,0,0,History,,
202504-010,TSLA,CLOSED,4/28/25 09:30,4/29/25 16:00,26,294.34,280.9,7652.84,-349.44,0,-4.566147992,History,Imported,0,0,0,History,,
202504-011,SPOT,CLOSED,4/29/25 09:30,7/18/25 16:00,107,637.99,669.23,68264.93,3342.68,0,4.896628474,History,Imported,0,0,0,History,,
202504-012,TQQQ,CLOSED,4/29/25 09:30,11/7/25 16:00,882,51.93,96.85,45802.26,39619.44,0,86.50105912,sr8 TQQQ Strategy Exit,Imported,0,0,0,br7.1 TQQQ Strategy,,
202504-013,GEV,CLOSED,4/30/25 09:30,8/20/25 16:00,174,476.32,598.82,82879.68,21315,0,25.7180047,History,Imported,0,0,0,History,,
202504-014,HIMS,CLOSED,4/30/25 09:30,6/23/25 16:00,1555,49.15,49.14,76428.25,-15.55,0,-0.02034588,History,Imported,0,0,0,History,,
202504-015,BKNG,CLOSED,4/30/25 09:30,5/9/25 16:00,3,5039.17,5112.61,15117.51,220.32,0,1.457382863,History,Imported,0,0,0,History,,
202505-001,ODD,CLOSED,5/1/25 09:30,5/13/25 16:00,351,62.91,61.98,22081.41,-326.43,0,-1.478302337,History,Imported,0,0,0,History,,
202505-002,RBRK,CLOSED,5/5/25 09:30,6/10/25 16:00,354,83.83,90.27,29675.82,2279.76,0,7.682214005,History,Imported,0,0,0,History,,
202505-003,FETH,CLOSED,5/8/25 09:30,5/14/25 16:00,334,22.32,26.15,7454.88,1279.22,0,17.15949821,History,Imported,0,0,0,History,,
202505-004,TSLA,CLOSED,5/9/25 09:30,6/5/25 16:00,93,313.22,314.27,29129.46,97.65,0,0.335227636,History,Imported,0,0,0,History,,
202505-005,GDX,CLOSED,5/9/25 09:30,5/12/25 16:00,657,50.17,47.78,32961.69,-1570.23,0,-4.76380307,History,Imported,0,0,0,History,,
202505-006,RBLX,CLOSED,5/12/25 09:30,5/20/25 16:00,336,74.3,81.16,24964.8,2304.96,0,9.232839838,History,Imported,0,0,0,History,,
202505-007,CRWV,CLOSED,5/12/25 09:30,7/29/25 16:00,900,111.86,133.33,100674,19323,0,19.1936349,History,Imported,0,0,0,History,,
202505-008,UBER,CLOSED,5/12/25 09:30,5/20/25 16:00,315,86.68,91.46,27304.2,1505.7,0,5.514536225,History,Imported,0,0,0,History,,
202505-009,NVDA,CLOSED,5/13/25 09:30,8/20/25 16:00,500,142.72,171.78,71360,14530,0,20.36154709,History,Imported,0,0,0,History,,
202505-010,NFLX,CLOSED,5/14/25 09:30,5/23/25 16:00,25,1154.04,1185.73,28851,792.25,0,2.746005338,History,Imported,0,0,0,History,,
202505-011,BIRK,CLOSED,5/16/25 09:30,5/16/25 16:00,327,58.07,56.9,18988.89,-382.59,0,-2.014809712,History,Imported,0,0,0,History,,
202505-012,BROS,CLOSED,5/16/25 09:30,5/19/25 16:00,393,72.86,73.15,28633.98,113.97,0,0.398023607,History,Imported,0,0,0,History,,
202505-013,APP,CLOSED,5/19/25 09:30,5/20/25 16:00,54,372.64,368.51,20122.56,-223.02,0,-1.108308287,History,Imported,0,0,0,History,,
202505-014,DUOL,CLOSED,5/20/25 09:30,5/20/25 16:00,15,526.61,521.4,7899.15,-78.15,0,-0.989346955,History,Imported,0,0,0,History,,
202505-015,META,CLOSED,5/21/25 09:30,5/21/25 16:00,63,644.81,633.29,40623.03,-725.76,0,-1.786572789,History,Imported,0,0,0,History,,
202505-016,TOST,CLOSED,5/22/25 09:30,5/23/25 16:00,699,42.82,42.56,29931.18,-181.74,0,-0.607192901,History,Imported,0,0,0,History,,
202505-017,IBIT,CLOSED,5/22/25 09:30,5/23/25 16:00,150,62.5,61.63,9375,-130.5,0,-1.392,History,Imported,0,0,0,History,,
202505-018,SE,CLOSED,5/23/25 09:30,5/29/25 16:00,125,165.03,160.78,20628.75,-531.25,0,-2.575289341,History,Imported,0,0,0,History,,
202505-019,OKLO,CLOSED,5/27/25 09:30,5/29/25 16:00,768,52.72,52.27,40488.96,-345.6,0,-0.853566009,History,Imported,0,0,0,History,,
202505-020,AS,CLOSED,5/27/25 09:30,5/29/25 16:00,525,38.29,36.73,20102.25,-819,0,-4.074170802,History,Imported,0,0,0,History,,
202505-021,LTBR,CLOSED,5/28/25 09:30,5/28/25 16:00,500,17.32,16.8,8660,-260,0,-3.002309469,History,Imported,0,0,0,History,,
202505-022,DUOL,CLOSED,5/30/25 09:30,6/9/25 16:00,81,504.35,499.14,40852.35,-422.01,0,-1.033012789,History,Imported,0,0,0,History,,
202506-001,ETOR,CLOSED,6/5/25 09:30,6/5/25 16:00,348,69.5,63.38,24186,-2129.76,0,-8.805755396,History,Imported,0,0,0,History,,
202506-002,NBIS,CLOSED,6/5/25 09:30,6/20/25 16:00,466,48.15,48.09,22437.9,-27.96,0,-0.124610592,History,Imported,0,0,0,History,,
202506-003,VIK,CLOSED,6/6/25 09:30,6/9/25 16:00,452,48.59,48.54,21962.68,-22.6,0,-0.102901832,History,Imported,0,0,0,History,,
202506-004,ETOR,CLOSED,6/9/25 09:30,6/11/25 16:00,126,69.33,65,8735.58,-545.58,0,-6.245492572,History,Imported,0,0,0,History,,
202506-005,OKLO,CLOSED,6/9/25 09:30,6/20/25 16:00,585,57.75,57.87,33783.75,70.2,0,0.207792208,History,Imported,0,0,0,History,,
202506-006,AMZN,CLOSED,6/9/25 09:30,6/11/25 16:00,160,216.48,214.59,34636.8,-302.4,0,-0.873059867,History,Imported,0,0,0,History,,
202506-007,NRG,CLOSED,6/11/25 09:30,6/17/25 16:00,159,151.1,151.91,24024.9,128.79,0,0.536068829,History,Imported,0,0,0,History,,
202506-008,SHOP,CLOSED,6/11/25 09:30,6/12/25 16:00,215,112.69,109.77,24228.35,-627.8,0,-2.591179342,History,Imported,0,0,0,History,,
202506-009,BROS,CLOSED,6/23/25 09:30,6/26/25 16:00,675,68.8,66.48,46440,-1566,0,-3.372093023,History,Imported,0,0,0,History,,
202506-010,RBRK,CLOSED,6/23/25 09:30,6/24/25 16:00,390,89.29,89.16,34823.1,-50.7,0,-0.145593012,History,Imported,0,0,0,History,,
202506-011,NET,CLOSED,6/23/25 09:30,7/10/25 16:00,235,183.88,184.45,43211.8,133.95,0,0.309984773,History,Imported,0,0,0,History,,
202506-012,CRCL,CLOSED,6/26/25 09:30,6/27/25 16:00,90,209.33,202.81,18839.7,-586.8,0,-3.114699279,History,Imported,0,0,0,History,,
202506-013,CHYM,CLOSED,6/30/25 09:30,7/2/25 16:00,420,33.34,31.25,14002.8,-877.8,0,-6.268746251,History,Imported,0,0,0,History,,
202507-001,AMD,CLOSED,7/1/25 09:30,8/20/25 16:00,653,157.88,168.64,103095.64,7026.28,0,6.815302762,History,Imported,0,0,0,History,,
202507-002,CRDO,CLOSED,7/3/25 09:30,7/18/25 16:00,542,93.06,91.2,50438.52,-1008.12,0,-1.998710509,History,Imported,0,0,0,History,,
202507-003,SHOP,CLOSED,7/3/25 09:30,7/8/25 16:00,246,117.01,111.9,28784.46,-1257.06,0,-4.367148107,History,Imported,0,0,0,History,,
202507-004,CRCL,CLOSED,7/8/25 09:30,7/11/25 16:00,85,196.32,195.12,16687.2,-102,0,-0.611246944,History,Imported,0,0,0,History,,
202507-005,ARKK,CLOSED,7/9/25 09:30,7/11/25 16:00,210,72.22,72.71,15166.2,102.9,0,0.678482415,History,Imported,0,0,0,History,,
202507-006,AMZN,CLOSED,7/10/25 09:30,7/30/25 16:00,100,20.76,24.73,2076,397,0,19.12331407,History,Imported,0,0,0,History,,
202507-007,GOOGL,CLOSED,7/10/25 09:30,8/11/25 16:00,180,189.02,200.65,34023.6,2093.4,0,6.152788065,History,Imported,0,0,0,History,,
202507-008,FNGO,CLOSED,7/14/25 09:30,7/16/25 16:00,425,108.74,108.23,46214.5,-216.75,0,-0.469008644,History,Imported,0,0,0,History,,
202507-009,TQQQ,CLOSED,7/16/25 09:30,7/22/25 16:00,563,85.65,86.53,48220.95,495.44,0,1.027437245,History,Imported,0,0,0,History,,
202507-010,ETHU,CLOSED,7/17/25 09:30,8/4/25 16:00,134,112.42,112.65,15064.28,30.82,0,0.204589931,History,Imported,0,0,0,History,,
202507-011,CRDO,CLOSED,7/18/25 09:30,7/21/25 16:00,542,92.26,90.55,50004.92,-926.82,0,-1.85345762,History,Imported,0,0,0,History,,
202507-012,SNOW,CLOSED,7/18/25 09:30,7/22/25 16:00,231,216.32,214.75,49969.92,-362.67,0,-0.725776627,History,Imported,0,0,0,History,,
202507-013,TSLA,CLOSED,7/18/25 09:30,7/21/25 16:00,100,329.08,328.42,32908,-66,0,-0.200559135,History,Imported,0,0,0,History,,
202507-014,IREN,CLOSED,7/18/25 09:30,7/31/25 16:00,1000,18.68,17.85,18680,-830,0,-4.443254818,History,Imported,0,0,0,History,,
202507-015,COIN,CLOSED,7/21/25 09:30,7/29/25 16:00,45,404.03,371.41,18181.35,-1467.9,0,-8.073657897,History,Imported,0,0,0,History,,
202507-016,NFLX,CLOSED,7/21/25 09:30,7/22/25 16:00,13,1234.42,1193.51,16047.46,-531.83,0,-3.31410703,History,Imported,0,0,0,History,,
202507-017,TSLA,CLOSED,7/21/25 09:30,7/30/25 16:00,4,1406.68,1316.75,5626.72,-359.72,0,-6.393067364,History,Imported,0,0,0,History,,
202507-018,SOFI,CLOSED,7/22/25 09:30,10/3/25 16:00,2382,24.81,25.33,59097.42,1238.64,0,2.095929061,History,Imported,0,0,0,History,,
202507-019,CRDO,CLOSED,7/23/25 09:30,8/13/25 16:00,443,99.74,118.31,44184.82,8226.51,0,18.61840786,History,Imported,0,0,0,History,,
202507-020,CRWV,CLOSED,7/29/25 09:30,7/29/25 16:00,304,111.17,109.05,33795.68,-644.48,0,-1.906989296,History,Imported,0,0,0,History,,
202507-021,CRWV,CLOSED,7/31/25 09:30,8/1/25 16:00,147,113.97,103.73,16753.59,-1505.28,0,-8.984820567,History,Imported,0,0,0,History,,
202507-022,COIN,CLOSED,7/31/25 09:30,8/1/25 16:00,50,377.97,322.11,18898.5,-2793,0,-14.77895071,History,Imported,0,0,0,History,,
202507-023,TQQQ,CLOSED,7/31/25 09:30,8/11/25 16:00,181,86.53,92.23,15661.93,1031.7,0,6.587310759,History,Imported,0,0,0,History,,
202508-001,ARKK,CLOSED,8/1/25 09:30,8/11/25 16:00,425,71.41,74.5,30349.25,1313.25,0,4.327125053,History,Imported,0,0,0,History,,
202508-002,META,CLOSED,8/1/25 09:30,8/11/25 16:00,47,761.91,768.19,35809.77,295.16,0,0.824244333,History,Imported,0,0,0,History,,
202508-003,NBIS,CLOSED,8/1/25 09:30,10/16/25 16:00,430,100.77,125.9,43331.1,10805.9,0,24.93797757,History,Imported,0,0,0,History,,
202508-004,NET,CLOSED,8/4/25 09:30,8/8/25 16:00,154,206.93,205.67,31867.22,-194.04,0,-0.608901561,History,Imported,0,0,0,History,,
202508-005,ZETA,CLOSED,8/7/25 09:30,8/7/25 16:00,750,20.58,20.09,15435,-367.5,0,-2.380952381,History,Imported,0,0,0,History,,
202508-006,CRWV,CLOSED,8/7/25 09:30,8/13/25 16:00,382,127.31,124.33,48632.42,-1138.36,0,-2.340743068,History,Imported,0,0,0,History,,
202508-007,RKLB,CLOSED,8/8/25 09:30,8/8/25 16:00,476,46.54,45.23,22153.04,-623.56,0,-2.814782982,History,Imported,0,0,0,History,,
202508-008,SHOP,CLOSED,8/13/25 09:30,8/15/25 16:00,381,150.34,142.19,57279.54,-3105.15,0,-5.42104563,History,Imported,0,0,0,History,,
202508-009,APP,CLOSED,8/14/25 09:30,8/20/25 16:00,128,435.57,407.02,55752.96,-3654.4,0,-6.554629566,History,Imported,0,0,0,History,,
202508-010,RBLX,CLOSED,8/14/25 09:30,8/20/25 16:00,526,124.25,115.52,65355.5,-4591.98,0,-7.026156942,History,Imported,0,0,0,History,,
202508-011,NFLX,CLOSED,8/14/25 09:30,8/20/25 16:00,45,1239.35,1209.75,55770.75,-1332,0,-2.388348731,History,Imported,0,0,0,History,,
202508-012,CRWV,CLOSED,8/15/25 09:30,8/28/25 16:00,341,101.43,98.21,34587.63,-1098.02,0,-3.174603175,History,Imported,0,0,0,History,,
202508-013,TQQQ,CLOSED,8/20/25 09:30,8/20/25 16:00,400,86.44,85.1,34576,-536,0,-1.550208237,History,Imported,0,0,0,History,,
202508-014,ALAB,CLOSED,8/20/25 09:30,9/2/25 16:00,242,173.73,169.93,42042.66,-919.6,0,-2.187302135,History,Imported,0,0,0,History,,
202508-015,RBLX,CLOSED,8/20/25 09:30,9/4/25 16:00,422,121.46,129.08,51256.12,3215.64,0,6.273670344,History,Imported,0,0,0,History,,
202508-016,GEV,CLOSED,8/21/25 09:30,9/2/25 16:00,75,614.34,580.65,46075.5,-2526.75,0,-5.483933978,History,Imported,0,0,0,History,,
202508-017,APP,CLOSED,8/21/25 09:30,10/6/25 16:00,158,498.07,597.02,78695.06,15634.1,0,19.86668541,History,Imported,0,0,0,History,,
202508-018,TQQQ,CLOSED,8/22/25 09:30,9/2/25 16:00,510,90.71,84.6,46262.1,-3116.1,0,-6.735751295,History,Imported,0,0,0,History,,
202508-019,UBER,CLOSED,8/25/25 09:30,8/28/25 16:00,320,97.17,94.13,31094.4,-972.8,0,-3.128537614,History,Imported,0,0,0,History,,
202508-020,MGNI,CLOSED,8/25/25 09:30,9/2/25 16:00,1817,25.53,24.41,46388.01,-2035.04,0,-4.386995691,History,Imported,0,0,0,History,,
202508-021,NVDA,CLOSED,8/25/25 09:30,9/2/25 16:00,252,181.78,170.39,45808.56,-2870.28,0,-6.265815821,History,Imported,0,0,0,History,,
202508-022,NBIS,CLOSED,8/25/25 09:30,9/2/25 16:00,450,69.56,65.79,31302,-1696.5,0,-5.419781484,History,Imported,0,0,0,History,,
202508-023,CCL,CLOSED,8/26/25 09:30,9/2/25 16:00,990,31.27,30.6,30957.3,-663.3,0,-2.142628718,History,Imported,0,0,0,History,,
202508-024,TSLA,CLOSED,8/26/25 09:30,8/29/25 16:00,89,348.32,341.15,31000.48,-638.13,0,-2.058451998,History,Imported,0,0,0,History,,
202508-025,SHOP,CLOSED,8/27/25 09:30,9/2/25 16:00,223,139.03,136.81,31003.69,-495.06,0,-1.596777674,History,Imported,0,0,0,History,,
202508-026,AMD,CLOSED,8/27/25 09:30,9/2/25 16:00,280,169.1,160.65,47348,-2366,0,-4.99704317,History,Imported,0,0,0,History,,
202508-027,FIX,CLOSED,8/29/25 09:30,8/29/25 16:00,44,727.16,707.83,31995.04,-850.52,0,-2.658287034,History,Imported,0,0,0,History,,
202509-001,DHI,CLOSED,9/2/25 09:30,9/10/25 16:00,176,170.71,174.94,30044.96,744.48,0,2.477886474,History,Imported,0,0,0,History,,
202509-002,MGNI,CLOSED,9/2/25 09:30,9/9/25 16:00,1670,25.5,24.64,42585,-1436.2,0,-3.37254902,History,Imported,0,0,0,History,,
202509-003,NVDA,CLOSED,9/2/25 09:30,9/2/25 16:00,88,171.52,169.14,15093.76,-209.44,0,-1.387593284,History,Imported,0,0,0,History,,
202509-004,RKLB,CLOSED,9/2/25 09:30,9/4/25 16:00,650,49.51,43.46,32181.5,-3932.5,0,-12.21975359,History,Imported,0,0,0,History,,
202509-005,DASH,CLOSED,9/3/25 09:30,9/4/25 16:00,120,251.36,247.16,30163.2,-504,0,-1.670910248,History,Imported,0,0,0,History,,
202509-006,ALAB,CLOSED,9/3/25 09:30,10/13/25 16:00,453,200.13,203.74,90658.89,1635.33,0,1.803827512,History,Imported,0,0,0,History,,
202509-007,ANET,CLOSED,9/3/25 09:30,9/8/25 16:00,220,137.89,140.12,30335.8,490.6,0,1.617231126,History,Imported,0,0,0,History,,
202509-008,RBLX,CLOSED,9/4/25 09:30,9/25/25 16:00,344,130.53,130.14,44902.32,-134.16,0,-0.298781889,History,Imported,0,0,0,History,,
202509-009,HOOD,CLOSED,9/4/25 09:30,9/9/25 16:00,198,145.99,144.19,28906.02,-356.4,0,-1.232961162,History,Imported,0,0,0,History,,
202509-010,PLTR,CLOSED,9/4/25 09:30,10/20/25 16:00,762,166.24,171.36,126674.88,3901.44,0,3.079884504,History,Imported,0,0,0,History,,
202509-011,XHB,CLOSED,9/4/25 09:30,9/8/25 16:00,122,115.02,118.52,14032.44,427,0,3.042949052,History,Imported,0,0,0,History,,
202509-012,SHOP,CLOSED,9/5/25 09:30,9/9/25 16:00,300,93.79,93.67,28137,-36,0,-0.12794541,History,Imported,0,0,0,History,,
202509-013,UPRO,CLOSED,9/5/25 09:30,9/9/25 16:00,280,104,103.66,29120,-95.2,0,-0.326923077,History,Imported,0,0,0,History,,
202509-014,TNA,CLOSED,9/5/25 09:30,9/9/25 16:00,346,42.57,42.53,14729.22,-13.84,0,-0.093962885,History,Imported,0,0,0,History,,
202509-015,CDNS,CLOSED,9/8/25 09:30,9/10/25 16:00,162,360.1,349,58336.2,-1798.2,0,-3.08247709,History,Imported,0,0,0,History,,
202509-016,DASH,CLOSED,9/9/25 09:30,10/16/25 16:00,200,260.88,265.48,52176,920,0,1.763262803,History,Imported,0,0,0,History,,
