Trade_ID,Ticker,Status,Open_Date,Close_Date, Shares , Avg_Entry , Avg_Exit 
2025-114,IREN,Closed,7/18/25,1/0/00,"1,000.00",18.68,$17.85 
2025-115,CRDO,Closed,7/18/25,7/21/25,542,92.26,$90.55 
2025-116,SNOW,Closed,7/18/25,7/22/25,231,216.32,$214.75 
2025-117,TSLA,Closed,7/18/25,7/21/25,100,329.08,$328.42 
2025-118,COIN,Closed,7/21/25,7/29/25,45,404.03,$371.41 
2025-119,NFLX,Closed,7/21/25,7/22/25,13,"1,234.42","$1,193.51 "
2025-120,CRDO,Closed,7/23/25,8/13/25,443,99.74,$118.31 
2025-121,TSLA,Closed,7/21/25,7/30/25,4,"1,406.68","$1,316.75 "
2025-122,GOOGL,Closed,7/10/25,8/11/25,180,189.02,$200.65 
2025-123,AMZN,Closed,7/10/25,7/30/25,100,20.76,$24.73 
2025-124,CRWV,Closed,7/29/25,7/29/25,304,111.17,$109.05 
2025-125,CRWV,Closed,7/31/25,8/1/25,147,113.97,$103.73 
2025-126,COIN,Closed,7/31/25,8/1/25,50,377.97,$322.11 
2025-127,TQQQ,Closed,7/31/25,8/11/25,181,86.53,$92.23 
2025-128,ARKK,Closed,8/1/25,8/11/25,425,71.41,$74.50 
2025-129,META,Closed,8/1/25,8/11/25,47,761.91,$768.19 
2025-130,NET,Closed,8/4/25,8/8/25,154,206.93,$205.67 
2025-131,ZETA,Closed,8/7/25,8/7/25,750,20.58,$20.09 
2025-132,CRWV,Closed,8/7/25,8/13/25,382,127.31,$124.33 
2025-133,RKLB,Closed,8/8/25,8/8/25,476,46.54,$45.23 
2025-134,SHOP,Closed,8/13/25,8/15/25,381,150.34,$142.19 
2025-135,APP,Closed,8/14/25,8/20/25,128,435.57,$407.02 
2025-136,NFLX,Closed,8/14/25,8/20/25,45,"1,239.35","$1,209.75 "
2025-137,RBLX,Closed,8/14/25,8/20/25,526,124.25,$115.52 
2025-138,CRWV,Closed,8/15/25,1/0/00,341,101.43,$98.21 
2025-139,TQQQ,Closed,8/20/25,8/20/25,400,86.44,$85.10 
2025-140,ALAB,Closed,8/20/25,9/2/25,242,173.73,$169.93 
2025-141,RBLX,Closed,8/20/25,9/4/25,422,121.46,$129.08 
2025-142,GEV,Closed,8/21/25,9/2/25,75,614.34,$580.65 
2025-143,APP,Closed,8/21/25,10/6/25,158,498.07,$597.02 
2025-144,TQQQ,Closed,8/22/25,9/2/25,510,90.71,$84.60 
2025-145,NVDA,Closed,8/25/25,9/2/25,252,181.78,$170.39 
2025-146,MGNI,Closed,8/25/25,9/2/25,"1,817.00",25.53,$24.41 
2025-147,NBIS,Closed,8/25/25,9/2/25,450,69.56,$65.79 
2025-148,UBER,Closed,8/25/25,8/28/25,320,97.17,$94.13 
2025-149,CCL,Closed,8/26/25,9/2/25,990,31.27,$30.60 
2025-150,TSLA,Closed,8/26/25,8/29/25,89,348.32,$341.15 
2025-151,SHOP,Closed,8/27/25,9/2/25,223,139.03,$136.81 
2025-152,AMD,Closed,8/27/25,9/2/25,280,169.1,$160.65 
2025-153,FIX,Closed,8/29/25,8/29/25,44,727.16,$707.83 
2025-154,NVDA,Closed,9/2/25,9/2/25,88,171.52,$169.14 
2025-155,MGNI,Closed,9/2/25,9/9/25,"1,670.00",25.5,$24.64 
2025-156,RKLB,Closed,9/2/25,9/4/25,650,49.51,$43.46 
2025-157,DHI,Closed,9/2/25,9/10/25,176,170.71,$174.94 
2025-158,DASH,Closed,9/3/25,9/4/25,120,251.36,$247.16 
2025-159,ALAB,Closed,9/3/25,10/13/25,453,200.13,$203.74 
2025-160,ANET,Closed,9/3/25,9/8/25,220,137.89,$140.12 
2025-161,XHB,Closed,9/4/25,9/8/25,122,115.02,$118.52 
2025-162,RBLX,Closed,9/4/25,9/25/25,344,130.53,$130.14 
2025-163,HOOD,Closed,9/4/25,9/9/25,198,145.99,$144.19 
2025-164,SHOP,Closed,9/5/25,9/9/25,300,93.79,$93.67 
2025-165,UPRO,Closed,9/5/25,9/9/25,280,104,$103.66 
2025-166,TNA,Closed,9/5/25,9/9/25,346,42.57,$42.53 
2025-167,CDNS,Closed,9/8/25,9/10/25,162,360.1,$349.00 
2025-168,PLTR,Closed,9/4/25,10/20/25,762,166.24,$171.36 
2025-169,DASH,Closed,9/9/25,10/16/25,200,260.88,$265.48 
2025-170,RDDT,Closed,9/10/25,9/19/25,186,258.09,$259.70 
2025-171,TQQQ,Closed,9/10/25,9/24/25,160,93.85,$100.72 
2025-172,CRWV,Closed,9/11/25,10/21/25,869,127.85,$126.80 
2025-173,LEU,Closed,9/11/25,10/17/25,158,247.62,$333.16 
2025-174,TSLA,Closed,9/12/25,10/22/25,160,402.56,$431.95 
2025-175,MP,Closed,9/12/25,9/29/25,476,63.19,$66.81 
2025-176,GEV,Closed,9/12/25,9/19/25,47,637.22,$607.33 
2025-177,NAIL,Closed,9/12/25,9/12/25,165,91.29,$88.84 
2025-178,NVDA,Closed,9/12/25,9/17/25,169,177.8,$171.15 
2025-179,ETHA,Closed,9/12/25,9/17/25,856,34.85,$33.87 
2025-180,ORCL,Closed,9/15/25,9/18/25,153,308.16,$295.39 
2025-181,OKLO,Closed,9/15/25,9/30/25,370,85.86,$117.33 
2025-182,DAVE,Closed,9/15/25,9/25/25,135,230,$220.00 
2025-183,VST,Closed,9/15/25,9/19/25,150,209.7,$210.68 
2025-184,NBIS,Closed,9/18/25,9/19/25,514,95.1,$94.26 
2025-185,SOFI,Closed,7/22/25,10/3/25,"2,382.00",24.81,$25.33 
2025-186,NBIS,Closed,8/1/25,10/16/25,430,100.77,$125.90 
2025-187,BMNR,Closed,9/22/25,10/16/25,908,55.97,$52.61 
2025-188,AVGO,Closed,9/22/25,9/29/25,100,37.45,$28.65 
2025-189,FIG,Closed,9/22/25,9/23/25,606,59.03,$56.45 
2025-190,ORCL,Closed,9/22/25,9/25/25,57,318.5,$291.17 
2025-191,CRDO,Closed,9/24/25,9/24/25,160,151.97,$147.60 
2025-192,CRDO,Closed,9/24/25,9/25/25,250,149.9,$142.24 
2025-193,GRAB,Closed,9/25/25,9/29/25,"2,250.00",6.22,$6.06 
2025-194,TQQQ,Closed,9/26/25,1/0/00,360,100.61,$102.47 
2025-195,UPRO,Closed,9/26/25,9/29/25,165,109.13,$110.40 
2025-196,CRCL,Closed,9/22/25,1/0/00,433,138.04,$135.61 
2025-197,BWXT,Closed,9/26/25,9/29/25,190,180.01,$182.70 
2025-198,RBLX,Closed,9/30/25,9/30/25,180,139.2,$135.68 
2025-199,NVDA,Closed,9/30/25,10/14/25,302,186.03,$182.02 
2025-200,RBLX,Closed,9/30/25,10/3/25,402,136.8,$125.70 
2025-201,APP,Closed,10/6/25,10/10/25,87,611.95,$590.86 
2025-202,FIG,Closed,10/7/25,1/0/00,311,60.99,$59.55 
2025-203,FIG,Closed,10/7/25,10/16/25,873,62.85,$58.89 
2025-204,CRCL,Closed,10/8/25,10/10/25,180,151.51,$142.40 
2025-205,FIGR,Closed,10/8/25,10/10/25,605,46.43,$43.91 
2025-206,KLAR,Closed,10/9/25,10/9/25,440,44.22,$42.53 
2025-207,GEV,Closed,10/13/25,10/16/25,84,643.41,$612.30 
2025-208,CRDO,Closed,10/13/25,10/14/25,237,149.38,$139.83 
2025-209,TQQQ,Closed,10/13/25,11/7/25,550,103.29,$104.46 
2025-210,RBLX,Closed,10/14/25,10/17/25,367,133.65,$134.21 
2025-211,APP,Closed,10/14/25,10/20/25,60,591.76,$559.30 
2025-212,RKLB,Closed,10/14/25,10/16/25,260,65.72,$67.47 
2025-213,GRAB,Closed,10/14/25,10/15/25,"6,000.00",6.01,$5.91 
2025-214,CRCL,Closed,10/13/25,10/14/25,250,140.04,$132.21 
2025-215,PLTR,Closed,10/20/25,10/22/25,275,173.89,$176.56 
2025-216,CRDO,Closed,10/20/25,10/21/25,219,150.68,$145.06 
2025-217,UPRO,Closed,10/21/25,10/22/25,290,113.73,$111.86 
2025-218,LEU,Closed,10/24/25,10/27/25,45,364.33,$351.00 
2025-219,AMD,Closed,10/24/25,11/6/25,192,251.33,$242.77 
2025-220,PLTR,Closed,10/24/25,11/5/25,346,193.4,$195.05 
2025-221,APP,Closed,10/24/25,11/5/25,52,627.05,$612.68 
2025-222,AVAV,Closed,10/24/25,11/3/25,66,379.93,$367.14 
2025-223,AVGO,Closed,10/27/25,11/6/25,156,364.02,$361.03 
2025-224,LIF,Closed,10/27/25,10/30/25,486,98.85,$96.99 
2025-225,NVDA,Closed,10/28/25,11/6/25,180,195.95,$192.28 
2025-226,SHOP,Closed,10/28/25,11/4/25,276,178.2,$173.71 
2025-227,MSFT,Closed,10/28/25,10/31/25,35,549.5,$518.77 
2025-228,NET,Closed,10/31/25,11/6/25,211,240.31,$231.50 
2025-229,BE,Closed,10/31/25,11/7/25,169,132.81,$129.79 
2025-230,WDC,Closed,10/31/25,11/7/25,110,150.01,$158.19 
2025-231,NBIS,Closed,10/31/25,11/4/25,63,129.75,$113.62 
2025-232,CRWV,Closed,10/31/25,11/4/25,58,138.28,$119.51 
2025-233,SOFI,Closed,10/31/25,11/6/25,529,29.78,$29.48 
2025-234,TSLA,Closed,11/3/25,11/6/25,67,467.25,$451.75 
2025-235,SSO,Closed,11/5/25,11/7/25,300,114.7,$111.51 
2025-236,CRS,Closed,11/5/25,11/6/25,51,316.54,$315.96 
2025-237,CRWD,Closed,11/7/25,11/12/25,33,541.25,$548.72 
2025-238,UPRO,Closed,11/7/25,11/14/25,395,114.9,$109.75 
2025-239,AMKR,Closed,11/7/25,11/13/25,848,35.13,$33.19 
2025-240,HOOD,Closed,11/7/25,11/13/25,230,134.68,$127.73 
2025-241,ITA,Closed,11/7/25,11/10/25,72,209.4,$211.11 
2025-242,AMZN,Closed,11/7/25,11/12/25,63,243.88,$248.62 
2025-243,NET,Closed,11/7/25,11/12/25,130,233.32,$225.01 
2025-244,APP,Closed,11/10/25,11/11/25,50,664.66,$602.59 
2025-245,TQQQ,Closed,11/10/25,11/13/25,668,111.97,$104.91 
2025-246,BE,Closed,11/10/25,11/10/25,105,145.43,$141.97 
2025-247,AMD,Closed,11/10/25,11/14/25,127,250.2,$236.10 
2025-248,PLTR,Closed,11/10/25,11/12/25,160,192.3,$182.87 
2025-249,TSLA,Closed,11/10/25,11/12/25,70,447.99,$431.62 
2025-250,UGL,Closed,11/10/25,11/14/25,300,51.26,$49.65 
2025-251,NBIS,Closed,11/11/25,11/11/25,125,110.35,$100.84 
2025-252,NBIS,Closed,11/19/25,11/19/25,95,96,$94.02 
2025-253,TQQQ,Closed,4/29/25,11/7/25,882,51.93,$96.85 
