Date,Signal,Type,Description,NASDAQ_Close,Daily_Change_%,Volume_vs_Prev,Above_21EMA,Above_50MA,Exposure_Change,Market_Exposure,Position_Allocation_%,Buy_Switch,Active_Dist_Days
2025-03-13,S10,SELL,Bad Break (-1.96%),17303.01,-1.96,0.92,False,False,-1,0,0,OFF,8
2025-03-13,S4,SELL,Full Distribution (8 days),17303.01,-1.96,0.92,False,False,-1,0,0,OFF,8
2025-03-13,S13,SELL,Distribution Cluster (4 in 8 days),17303.01,-1.96,0.92,False,False,-1,0,0,OFF,8
2025-03-14,S4,SELL,Full Distribution (8 days),17754.09,2.61,0.99,False,False,-1,0,0,OFF,8
2025-03-14,S13,SELL,Distribution Cluster (4 in 8 days),17754.09,2.61,0.99,False,False,-1,0,0,OFF,8
2025-03-17,S4,SELL,Full Distribution (7 days),17808.66,0.31,0.89,False,False,-1,0,0,OFF,7
2025-03-18,S4,SELL,Full Distribution (8 days),17504.12,-1.71,1.02,False,False,-1,0,0,OFF,8
2025-03-19,S4,SELL,Full Distribution (8 days),17750.79,1.41,0.98,False,False,-1,0,0,OFF,8
2025-03-20,S4,SELL,Full Distribution (8 days),17691.63,-0.33,0.97,False,False,-1,0,0,OFF,8
2025-03-21,S4,SELL,Full Distribution (8 days),17784.05,0.52,1.45,False,False,-1,0,0,OFF,8
2025-03-24,S4,SELL,Full Distribution (6 days),18188.59,2.27,0.77,True,False,-1,0,0,OFF,6
2025-03-25,S4,SELL,Full Distribution (6 days),18271.86,0.46,0.95,True,False,-1,0,0,OFF,6
2025-03-26,S5,SELL,Break Below 21-day EMA,17899.02,-2.04,1.4,False,False,-1,0,0,OFF,7
2025-03-26,S10,SELL,Bad Break (-2.04%),17899.02,-2.04,1.4,False,False,-1,0,0,OFF,7
2025-03-26,S4,SELL,Full Distribution (7 days),17899.02,-2.04,1.4,False,False,-1,0,0,OFF,7
2025-03-27,S10,SELL,Bad Break (-0.53%),17804.03,-0.53,0.88,False,False,-1,0,0,OFF,7
2025-03-27,S4,SELL,Full Distribution (7 days),17804.03,-0.53,0.88,False,False,-1,0,0,OFF,7
2025-03-28,S10,SELL,Bad Break (-2.70%),17322.99,-2.7,0.88,False,False,-1,0,0,OFF,7
2025-03-28,S4,SELL,Full Distribution (7 days),17322.99,-2.7,0.88,False,False,-1,0,0,OFF,7
2025-03-31,S12,SELL,Lower Low (13-week),17299.29,-0.14,1.16,False,False,-1,0,0,OFF,6
2025-03-31,S4,SELL,Full Distribution (6 days),17299.29,-0.14,1.16,False,False,-1,0,0,OFF,6
2025-04-01,S4,SELL,Full Distribution (6 days),17449.89,0.87,0.95,False,False,-1,0,0,OFF,6
2025-04-02,S4,SELL,Full Distribution (6 days),17601.05,0.87,1.18,False,False,-1,0,0,OFF,6
2025-04-03,S10,SELL,Bad Break (-5.97%),16550.61,-5.97,1.04,False,False,-1,0,0,OFF,6
2025-04-03,S12,SELL,Lower Low (13-week),16550.61,-5.97,1.04,False,False,-1,0,0,OFF,6
2025-04-03,S4,SELL,Full Distribution (6 days),16550.61,-5.97,1.04,False,False,-1,0,0,OFF,6
2025-04-04,S10,SELL,Bad Break (-5.82%),15587.79,-5.82,1.17,False,False,-1,0,0,OFF,7
2025-04-04,S12,SELL,Lower Low (13-week),15587.79,-5.82,1.17,False,False,-1,0,0,OFF,7
2025-04-04,S4,SELL,Full Distribution (7 days),15587.79,-5.82,1.17,False,False,-1,0,0,OFF,7
2025-04-07,S12,SELL,Lower Low (13-week),15603.26,0.1,1.13,False,False,-1,0,0,OFF,6
2025-04-07,S4,SELL,Full Distribution (6 days),15603.26,0.1,1.13,False,False,-1,0,0,OFF,6
2025-04-08,S10,SELL,Bad Break (-2.15%),15267.91,-2.15,0.84,False,False,-1,0,0,OFF,6
2025-04-08,S4,SELL,Full Distribution (6 days),15267.91,-2.15,0.84,False,False,-1,0,0,OFF,6
2025-04-09,S3,SELL,Full Distribution minus one (5 days),17124.97,12.16,1.28,False,False,-1,0,0,OFF,5
2025-04-10,S10,SELL,Bad Break (-4.31%),16387.31,-4.31,0.88,False,False,-1,0,0,OFF,4
2025-04-16,S10,SELL,Bad Break (-3.07%),16307.16,-3.07,1.06,False,False,-1,0,0,OFF,4
2025-04-21,S10,SELL,Bad Break (-2.55%),15870.9,-2.55,0.95,False,False,-1,0,0,OFF,4
2025-04-23,S10,SELL,Bad Break (2.50%),16708.05,2.5,1.23,False,False,-1,0,0,OFF,3
2025-05-12,B1,BUY,"Follow-Through Day (+4.35%, Vol: 1.2x)",18708.34,4.35,1.21,True,True,1,1,30,ON,0
2025-05-12,B7,BUY,Accumulation Day (+4.35%),18708.34,4.35,1.21,True,True,1,2,55,ON,0
2025-05-27,B2,BUY,"Additional Follow-Through Day (+2.47%, Vol: 10.8x)",19199.16,2.47,10.76,True,True,0,2,55,ON,2
2025-05-27,B7,BUY,Accumulation Day (+2.47%),19199.16,2.47,10.76,True,True,1,3,75,ON,2
2025-05-29,B8,BUY,Higher High (13-week),19175.87,0.39,1.36,True,True,1,4,90,ON,2
2025-06-03,B8,BUY,Higher High (13-week),19398.96,0.81,1.03,True,True,1,5,100,ON,2
2025-06-04,B8,BUY,Higher High (13-week),19460.49,0.32,0.96,True,True,1,6,100,ON,2
2025-06-04,B9,BUY,Downside Reversal Buyback,19460.49,0.32,0.96,True,True,1,6,100,ON,2
2025-06-05,B8,BUY,Higher High (13-week),19298.45,-0.83,1.14,True,True,1,6,100,ON,2
2025-06-05,S11,SELL,Downside Reversal Day (spread: 2.00%),19298.45,-0.83,1.14,True,True,-1,5,100,ON,2
2025-06-06,B9,BUY,Downside Reversal Buyback,19529.95,1.2,0.83,True,True,1,6,100,ON,2
2025-06-09,B8,BUY,Higher High (13-week),19591.24,0.31,1.31,True,True,1,6,100,ON,2
2025-06-10,B8,BUY,Higher High (13-week),19714.99,0.63,1.18,True,True,1,6,100,ON,2
2025-06-10,B9,BUY,Downside Reversal Buyback,19714.99,0.63,1.18,True,True,1,6,100,ON,2
2025-06-11,B8,BUY,Higher High (13-week),19615.88,-0.5,0.91,True,True,1,6,100,ON,1
2025-06-16,B7,BUY,Accumulation Day (+1.52%),19701.21,1.52,1.07,True,True,1,6,100,ON,1
2025-06-24,B8,BUY,Higher High (13-week),19912.53,1.43,0.92,True,True,1,6,100,ON,2
2025-06-25,B8,BUY,Higher High (13-week),19973.55,0.31,0.99,True,True,1,6,100,ON,2
2025-06-25,B9,BUY,Downside Reversal Buyback,19973.55,0.31,0.99,True,True,1,6,100,ON,2
2025-06-26,B8,BUY,Higher High (13-week),20167.91,0.97,1.02,True,True,1,6,100,ON,2
2025-06-26,B9,BUY,Downside Reversal Buyback,20167.91,0.97,1.02,True,True,1,6,100,ON,2
2025-06-27,B8,BUY,Higher High (13-week),20273.46,0.52,1.31,True,True,1,6,100,ON,1
2025-06-27,B9,BUY,Downside Reversal Buyback,20273.46,0.52,1.31,True,True,1,6,100,ON,1
2025-06-30,B8,BUY,Higher High (13-week),20369.73,0.47,0.75,True,True,1,6,100,ON,0
2025-07-03,B8,BUY,Higher High (13-week),20601.1,1.02,0.74,True,True,1,6,100,ON,1
2025-07-09,B8,BUY,Higher High (13-week),20611.34,0.94,1.18,True,True,1,6,100,ON,2
2025-07-10,B8,BUY,Higher High (13-week),20630.66,0.09,0.98,True,True,1,6,100,ON,2
2025-07-14,B8,BUY,Higher High (13-week),20640.33,0.27,0.98,True,True,1,6,100,ON,2
2025-07-15,B8,BUY,Higher High (13-week),20677.8,0.18,1.05,True,True,1,6,100,ON,2
2025-07-15,B9,BUY,Downside Reversal Buyback,20677.8,0.18,1.05,True,True,1,6,100,ON,2
2025-07-16,B9,BUY,Downside Reversal Buyback,20730.49,0.25,1.08,True,True,1,6,100,ON,2
2025-07-17,B8,BUY,Higher High (13-week),20885.65,0.75,1.1,True,True,1,6,100,ON,2
2025-07-17,B9,BUY,Downside Reversal Buyback,20885.65,0.75,1.1,True,True,1,6,100,ON,2
2025-07-18,B8,BUY,Higher High (13-week),20895.65,0.05,0.94,True,True,1,6,100,ON,2
2025-07-21,B8,BUY,Higher High (13-week),20974.18,0.38,1.29,True,True,1,6,100,ON,3
2025-07-24,B8,BUY,Higher High (13-week),21057.96,0.18,1.16,True,True,1,6,100,ON,2
2025-07-25,B8,BUY,Higher High (13-week),21108.32,0.24,0.87,True,True,1,6,100,ON,2
2025-07-28,B8,BUY,Higher High (13-week),21178.58,0.33,0.96,True,True,1,6,100,ON,2
2025-07-29,B8,BUY,Higher High (13-week),21098.29,-0.38,0.95,True,True,1,6,100,ON,2
2025-07-31,B8,BUY,Higher High (13-week),21122.45,-0.03,1.07,True,True,1,6,100,ON,1
2025-07-31,S11,SELL,Downside Reversal Day (spread: 1.80%),21122.45,-0.03,1.07,True,True,-1,5,100,ON,1
2025-08-01,S5,SELL,Break Below 21-day EMA,20650.13,-2.24,0.97,False,True,-1,4,90,ON,1
2025-08-06,B7,BUY,Accumulation Day (+1.21%),21169.42,1.21,1.07,True,True,1,5,100,ON,2
2025-08-08,B8,BUY,Higher High (13-week),21450.02,0.98,0.97,True,True,1,6,100,ON,3
2025-08-11,B8,BUY,Higher High (13-week),21385.4,-0.3,1.05,True,True,1,6,100,ON,4
2025-08-12,B8,BUY,Higher High (13-week),21681.9,1.39,0.92,True,True,1,6,100,ON,4
2025-08-12,B9,BUY,Downside Reversal Buyback,21681.9,1.39,0.92,True,True,1,6,100,ON,4
2025-08-13,B8,BUY,Higher High (13-week),21713.14,0.14,1.05,True,True,1,6,100,ON,4
2025-08-13,B9,BUY,Downside Reversal Buyback,21713.14,0.14,1.05,True,True,1,6,100,ON,4
2025-08-14,B9,BUY,Downside Reversal Buyback,21710.67,-0.01,1.04,True,True,1,6,100,ON,4
2025-08-19,S3,SELL,Full Distribution minus one (5 days),21314.95,-1.46,1.02,True,True,-1,5,100,ON,5
2025-08-20,S5,SELL,Break Below 21-day EMA,21172.86,-0.67,0.92,False,True,-1,4,90,ON,5
2025-08-20,S3,SELL,Full Distribution minus one (5 days),21172.86,-0.67,0.92,False,True,-1,3,75,ON,5
2025-08-21,S3,SELL,Full Distribution minus one (5 days),21100.31,-0.34,0.84,False,True,-1,2,55,ON,5
2025-08-22,B7,BUY,Accumulation Day (+1.88%),21496.54,1.88,1.44,True,True,1,3,75,ON,5
2025-08-22,S3,SELL,Full Distribution minus one (5 days),21496.54,1.88,1.44,True,True,-1,2,55,ON,5
2025-08-25,S3,SELL,Full Distribution minus one (5 days),21449.29,-0.22,0.9,True,True,-1,1,30,ON,5
2025-09-02,S5,SELL,Break Below 21-day EMA,21279.63,-0.82,1.06,False,True,-1,0,0,ON,5
2025-09-02,S3,SELL,Full Distribution minus one (5 days),21279.63,-0.82,1.06,False,True,-1,0,0,ON,5
2025-09-03,S3,SELL,Full Distribution minus one (5 days),21497.73,1.02,0.92,True,True,-1,0,0,ON,5
2025-09-04,S3,SELL,Full Distribution minus one (5 days),21707.69,0.98,0.97,True,True,-1,0,0,ON,5
2025-09-05,B8,BUY,Higher High (13-week),21700.39,-0.03,1.16,True,True,1,1,30,ON,5
2025-09-05,S3,SELL,Full Distribution minus one (5 days),21700.39,-0.03,1.16,True,True,-1,0,0,ON,5
2025-09-08,B8,BUY,Higher High (13-week),21798.7,0.45,1.0,True,True,1,1,30,ON,6
2025-09-08,S4,SELL,Full Distribution (6 days),21798.7,0.45,1.0,True,True,-1,0,0,OFF,6
2025-09-09,S4,SELL,Full Distribution (6 days),21879.49,0.37,0.93,True,True,-1,0,0,OFF,6
2025-09-10,S3,SELL,Full Distribution minus one (5 days),21886.06,0.03,1.15,True,True,-1,0,0,OFF,5
2025-09-10,B9,BUY,Downside Reversal Buyback,21886.06,0.03,1.15,True,True,1,1,30,OFF,5
2025-09-11,S3,SELL,Full Distribution minus one (5 days),22043.07,0.72,1.1,True,True,-1,0,0,OFF,5
2025-09-29,S3,SELL,Full Distribution minus one (5 days),22591.15,0.48,1.07,True,True,-1,0,0,OFF,5
2025-09-30,S3,SELL,Full Distribution minus one (5 days),22660.01,0.3,0.99,True,True,-1,0,0,OFF,5
2025-10-01,S3,SELL,Full Distribution minus one (5 days),22755.16,0.42,1.12,True,True,-1,0,0,OFF,5
2025-10-03,S3,SELL,Full Distribution minus one (5 days),22780.51,-0.28,1.09,True,True,-1,0,0,OFF,5
2025-10-03,S13,SELL,Distribution Cluster (4 in 8 days),22780.51,-0.28,1.09,True,True,-1,0,0,OFF,5
2025-10-06,S3,SELL,Full Distribution minus one (5 days),22941.67,0.71,1.0,True,True,-1,0,0,OFF,5
2025-10-07,S3,SELL,Full Distribution minus one (5 days),22788.36,-0.67,0.99,True,True,-1,0,0,OFF,5
2025-10-08,S3,SELL,Full Distribution minus one (5 days),23043.38,1.12,1.05,True,True,-1,0,0,OFF,5
2025-10-09,S3,SELL,Full Distribution minus one (5 days),23024.63,-0.08,0.98,True,True,-1,0,0,OFF,5
2025-10-10,S5,SELL,Break Below 21-day EMA,22204.43,-3.56,1.09,False,True,-1,0,0,OFF,6
2025-10-10,S10,SELL,Bad Break (-3.56%),22204.43,-3.56,1.09,False,True,-1,0,0,OFF,6
2025-10-10,S4,SELL,Full Distribution (6 days),22204.43,-3.56,1.09,False,True,-1,0,0,OFF,6
2025-10-10,S11,SELL,Downside Reversal Day (spread: 4.18%),22204.43,-3.56,1.09,False,True,-1,0,0,OFF,6
2025-10-13,S4,SELL,Full Distribution (6 days),22694.61,2.21,0.78,True,True,-1,0,0,OFF,6
2025-10-14,S4,SELL,Full Distribution (7 days),22521.7,-0.76,1.08,False,True,-1,0,0,OFF,7
2025-10-15,S4,SELL,Full Distribution (7 days),22670.08,0.66,1.16,True,True,-1,0,0,OFF,7
2025-10-16,S4,SELL,Full Distribution (7 days),22562.54,-0.47,1.0,True,True,-1,0,0,OFF,7
2025-10-17,S4,SELL,Full Distribution (7 days),22679.97,0.52,0.84,True,True,-1,0,0,OFF,7
2025-10-20,S4,SELL,Full Distribution (7 days),22990.54,1.37,0.99,True,True,-1,0,0,OFF,7
2025-10-21,S4,SELL,Full Distribution (7 days),22953.67,-0.16,1.15,True,True,-1,0,0,OFF,7
2025-10-22,S4,SELL,Full Distribution (8 days),22740.4,-0.93,1.32,True,True,-1,0,0,OFF,8
2025-10-23,S4,SELL,Full Distribution (7 days),22941.8,0.89,0.72,True,True,-1,0,0,OFF,7
2025-10-24,S4,SELL,Full Distribution (7 days),23204.87,1.15,0.99,True,True,-1,0,0,OFF,7
2025-11-06,S5,SELL,Break Below 21-day EMA,23053.99,-1.9,1.11,False,True,-1,0,0,OFF,2
2025-11-13,S5,SELL,Break Below 21-day EMA,22870.36,-2.29,1.34,False,True,-1,0,0,OFF,4
2025-11-13,S10,SELL,Bad Break (-2.29%),22870.36,-2.29,1.34,False,True,-1,0,0,OFF,4
2025-11-17,S9,SELL,Break Below 50-day MA,22708.07,-0.84,0.9,False,False,-1,0,0,OFF,4
2025-11-20,S10,SELL,Bad Break (-2.15%),22078.05,-2.15,1.25,False,False,-1,0,0,OFF,4
2025-12-01,S3,SELL,Full Distribution minus one (5 days),23275.92,-0.38,1.73,True,True,-1,0,0,OFF,5
2025-12-02,S3,SELL,Full Distribution minus one (5 days),23413.67,0.59,0.97,True,True,-1,0,0,OFF,5
2025-12-03,S3,SELL,Full Distribution minus one (5 days),23454.09,0.17,1.05,True,True,-1,0,0,OFF,5
2025-12-04,S3,SELL,Full Distribution minus one (5 days),23505.14,0.22,0.94,True,True,-1,0,0,OFF,5
2025-12-05,S3,SELL,Full Distribution minus one (5 days),23578.13,0.31,1.11,True,True,-1,0,0,OFF,5
2025-12-08,S3,SELL,Full Distribution minus one (5 days),23545.9,-0.14,1.03,True,True,-1,0,0,OFF,5
2025-12-09,S3,SELL,Full Distribution minus one (5 days),23576.49,0.13,0.84,True,True,-1,0,0,OFF,5
2025-12-10,S3,SELL,Full Distribution minus one (5 days),23654.15,0.33,1.11,True,True,-1,0,0,OFF,5
2025-12-11,S4,SELL,Full Distribution (6 days),23593.86,-0.25,1.04,True,True,-1,0,0,OFF,6
2025-12-12,S5,SELL,Break Below 21-day EMA,23195.17,-1.69,1.05,False,True,-1,0,0,OFF,6
2025-12-12,S4,SELL,Full Distribution (6 days),23195.17,-1.69,1.05,False,True,-1,0,0,OFF,6
2025-12-15,S9,SELL,Break Below 50-day MA,23057.41,-0.59,0.99,False,False,-1,0,0,OFF,6
2025-12-15,S10,SELL,Bad Break (-0.59%),23057.41,-0.59,0.99,False,False,-1,0,0,OFF,6
2025-12-15,S4,SELL,Full Distribution (6 days),23057.41,-0.59,0.99,False,False,-1,0,0,OFF,6
2025-12-16,S4,SELL,Full Distribution (6 days),23111.46,0.23,0.9,False,False,-1,0,0,OFF,6
2025-12-17,S10,SELL,Bad Break (-1.81%),22693.32,-1.81,1.11,False,False,-1,0,0,OFF,7
2025-12-17,S4,SELL,Full Distribution (7 days),22693.32,-1.81,1.11,False,False,-1,0,0,OFF,7
2025-12-18,S4,SELL,Full Distribution (6 days),23006.36,1.38,0.93,False,False,-1,0,0,OFF,6
2025-12-19,S3,SELL,Full Distribution minus one (5 days),23307.62,1.31,1.61,True,True,-1,0,0,OFF,5
2025-12-22,S3,SELL,Full Distribution minus one (5 days),23428.83,0.52,0.56,True,True,-1,0,0,OFF,5
2025-12-23,S3,SELL,Full Distribution minus one (5 days),23561.84,0.57,1.04,True,True,-1,0,0,OFF,5
2025-12-24,S3,SELL,Full Distribution minus one (5 days),23613.31,0.22,0.52,True,True,-1,0,0,OFF,5
2025-12-26,S3,SELL,Full Distribution minus one (5 days),23593.1,-0.09,1.33,True,True,-1,0,0,OFF,5
2025-12-29,S4,SELL,Full Distribution (6 days),23474.35,-0.5,1.26,True,True,-1,0,0,OFF,6
2025-12-30,S4,SELL,Full Distribution (7 days),23419.08,-0.24,1.04,True,True,-1,0,0,OFF,7
2025-12-31,S5,SELL,Break Below 21-day EMA,23241.99,-0.76,0.87,False,False,-1,0,0,OFF,7
2025-12-31,S9,SELL,Break Below 50-day MA,23241.99,-0.76,0.87,False,False,-1,0,0,OFF,7
2025-12-31,S10,SELL,Bad Break (-0.76%),23241.99,-0.76,0.87,False,False,-1,0,0,OFF,7
2025-12-31,S4,SELL,Full Distribution (7 days),23241.99,-0.76,0.87,False,False,-1,0,0,OFF,7
2026-01-02,S10,SELL,Bad Break (-0.03%),23235.63,-0.03,1.24,False,False,-1,0,0,OFF,8
2026-01-02,S4,SELL,Full Distribution (8 days),23235.63,-0.03,1.24,False,False,-1,0,0,OFF,8
2026-01-05,S4,SELL,Full Distribution (8 days),23395.82,0.69,1.19,True,True,-1,0,0,OFF,8
2026-01-06,S4,SELL,Full Distribution (7 days),23547.17,0.65,1.03,True,True,-1,0,0,OFF,7
2026-01-07,S4,SELL,Full Distribution (7 days),23584.28,0.16,0.93,True,True,-1,0,0,OFF,7
2026-01-08,S4,SELL,Full Distribution (7 days),23480.02,-0.44,0.92,True,True,-1,0,0,OFF,7
2026-01-09,S4,SELL,Full Distribution (7 days),23671.35,0.81,1.05,True,True,-1,0,0,OFF,7
2026-01-12,S4,SELL,Full Distribution (6 days),23733.9,0.26,1.07,True,True,-1,0,0,OFF,6
2026-01-13,S4,SELL,Full Distribution (7 days),23709.87,-0.1,1.08,True,True,-1,0,0,OFF,7
2026-01-14,S4,SELL,Full Distribution (8 days),23471.75,-1.0,1.29,True,True,-1,0,0,OFF,8
2026-01-15,S4,SELL,Full Distribution (8 days),23530.02,0.25,0.8,True,True,-1,0,0,OFF,8
2026-01-16,S4,SELL,Full Distribution (7 days),23515.39,-0.06,0.98,True,True,-1,0,0,OFF,7
2026-01-20,S5,SELL,Break Below 21-day EMA,22954.32,-2.39,1.0,False,False,-1,0,0,OFF,6
2026-01-20,S9,SELL,Break Below 50-day MA,22954.32,-2.39,1.0,False,False,-1,0,0,OFF,6
2026-01-20,S10,SELL,Bad Break (-2.39%),22954.32,-2.39,1.0,False,False,-1,0,0,OFF,6
2026-01-20,S4,SELL,Full Distribution (6 days),22954.32,-2.39,1.0,False,False,-1,0,0,OFF,6
2026-01-21,S4,SELL,Full Distribution (6 days),23224.82,1.18,0.97,False,False,-1,0,0,OFF,6
2026-01-22,S3,SELL,Full Distribution minus one (5 days),23436.02,0.91,0.99,True,True,-1,0,0,OFF,5
2026-01-23,S3,SELL,Full Distribution minus one (5 days),23501.24,0.28,0.91,True,True,-1,0,0,OFF,5
2026-01-26,S3,SELL,Full Distribution minus one (5 days),23601.36,0.43,0.91,True,True,-1,0,0,OFF,5
2026-01-27,S3,SELL,Full Distribution minus one (5 days),23817.1,0.91,1.07,True,True,-1,0,0,OFF,5
2026-01-28,S3,SELL,Full Distribution minus one (5 days),23857.45,0.17,1.02,True,True,-1,0,0,OFF,5
2026-01-29,S4,SELL,Full Distribution (6 days),23685.12,-0.72,1.08,True,True,-1,0,0,OFF,6
2026-01-30,S5,SELL,Break Below 21-day EMA,23461.82,-0.94,1.05,False,True,-1,0,0,OFF,7
2026-01-30,S4,SELL,Full Distribution (7 days),23461.82,-0.94,1.05,False,True,-1,0,0,OFF,7
2026-02-02,S4,SELL,Full Distribution (7 days),23592.11,0.56,0.96,True,True,-1,0,0,OFF,7
2026-02-03,S5,SELL,Break Below 21-day EMA,23255.19,-1.43,1.16,False,False,-1,0,0,OFF,7
2026-02-03,S9,SELL,Break Below 50-day MA,23255.19,-1.43,1.16,False,False,-1,0,0,OFF,7
2026-02-03,S4,SELL,Full Distribution (7 days),23255.19,-1.43,1.16,False,False,-1,0,0,OFF,7
2026-02-04,S4,SELL,Full Distribution (7 days),22904.58,-1.51,1.05,False,False,-1,0,0,OFF,7
2026-02-04,S13,SELL,Distribution Cluster (4 in 8 days),22904.58,-1.51,1.05,False,False,-1,0,0,OFF,7
2026-02-05,S10,SELL,Bad Break (-1.59%),22540.59,-1.59,0.93,False,False,-1,0,0,OFF,7
2026-02-05,S4,SELL,Full Distribution (7 days),22540.59,-1.59,0.93,False,False,-1,0,0,OFF,7
2026-02-05,S13,SELL,Distribution Cluster (4 in 8 days),22540.59,-1.59,0.93,False,False,-1,0,0,OFF,7
2026-02-06,S4,SELL,Full Distribution (7 days),23031.21,2.18,0.9,False,False,-1,0,0,OFF,7
2026-02-06,S13,SELL,Distribution Cluster (4 in 8 days),23031.21,2.18,0.9,False,False,-1,0,0,OFF,7
2026-02-09,S4,SELL,Full Distribution (6 days),23238.67,0.9,0.9,False,False,-1,0,0,OFF,6
2026-02-10,S10,SELL,Bad Break (-0.59%),23102.47,-0.59,1.04,False,False,-1,0,0,OFF,7
2026-02-10,S4,SELL,Full Distribution (7 days),23102.47,-0.59,1.04,False,False,-1,0,0,OFF,7
2026-02-11,S4,SELL,Full Distribution (7 days),23066.47,-0.16,1.17,False,False,-1,0,0,OFF,7
2026-02-12,S10,SELL,Bad Break (-2.03%),22597.15,-2.03,0.89,False,False,-1,0,0,OFF,7
2026-02-12,S4,SELL,Full Distribution (7 days),22597.15,-2.03,0.89,False,False,-1,0,0,OFF,7
2026-02-13,S4,SELL,Full Distribution (7 days),22546.67,-0.22,0.9,False,False,-1,0,0,OFF,7
