Day,Status,Market Window,> 21e,Cash -/+,Beg NLV,End NLV,Daily $ Change,Daily % Change,% Invested,SPY,Nasdaq,Market_Notes,Market_Action,Score,Highlights,Lowlights,Mistakes,Top_Lesson
2026-01-12,U,Open,0,0.0,120050.96,120218.34,167.38,0.14%,100.8115733,695.1599731,23733.9043,Market shrugs off J Powell investigation ,No Change,5,Added back to FIGR realizing natural move,,,Don't make stop loss too obvious
2026-01-09,U,Open,0,0.0,116616.49,120050.96,3434.47,2.95%,100.8130214,694.0700073,23671.3457,Market rebounds after 2 days selloff. Small caps lead ,No Changes,3,Managing risk well,Mismanaged RDDT,Stops in illogical places. Need to review more carefully ,Consider MAs in determining scale in stop positions 
2026-01-08,U,Open,0,0.0,118456.94,116616.49,-1840.45,-1.55%,100.8270786,689.5100098,23480.01563,Market falls again. Portfolio is mixed ,No changes,3,,,,
2026-01-07,U,Open,0,0.0,118805.9,118456.94,-348.96,-0.29%,100.8222904,689.5800171,23584.27539,Market fades late. TQQQ signal triggered ,ADD: TQQQ,3,Overall I'm reading the market well,I bought ASTS on weakness. I was impatient ,Wait for rebound on pullbacks,be patient on adding on pullback
2026-01-06,U,Open,0,0.0,118712.73,118805.9,93.17,0.08%,13.0826836,691.8099976,23547.17188,"Dow, S&P 500 hit record highs - Leaders are working",BUY: TQQQ-UPRO,4,Followed rules. Took profit,Missed alerts to size up on SNDK,,Need to set buy stop orders. 
2026-01-05,U,Open,0,0.0,118712.72,118712.73,0.01,0.00%,0.0,687.7199707,23395.82227,US arrests Maduro - Market continues higher ,No Change,2,Increase exposure and bought stocks that met my criteria,Added aggressively to ALAB,Did move my ALAB stop to respect my initial risk,Immediately raise stop 
2026-01-02,U,Open,0,0.0,119911.85,118712.72,-1199.13,-1.00%,0.0,683.1699829,23235.62891,Market down. Select growth stocks on fire,SELL: TQQQ-UPRO,0,0,0,0,0
2025-12-31,U,Open,0,0.0,123107.0,119911.85,-3195.15,-2.60%,96.65683583,681.9199829,23241.99023,Market tumbles into new year. Terrible close of the year,No Changes,0,0,0,0,0
2025-12-30,U,Open,0,0.0,123893.86,123107.0,-786.86,-0.64%,96.74267101,687.0100098,23419.08008,Market flat again. Very low volume on shorten week,No Changes,0,0,0,0,0
2025-12-29,U,Open,0,0.0,125246.93,123893.86,-1353.07,-1.08%,96.76427871,687.8499756,23474.34961,Nasdaq sells off from highs but closed well,No Changes,0,0,0,0,0
2025-12-26,U,Open,0,0.0,125566.36,125246.93,-319.43,-0.25%,96.81514749,690.3099976,23593.0957,Day after Xmas blues. Indices are flat. High Beta stocks sell off ,,0,0,0,0,0
2025-12-24,U,Open,0,0.0,125139.15,125566.36,427.21,0.34%,96.83087094,690.3800049,23613.30664,Shorten Holiday Trading Day. SPX makes ATH. Mixed actions on growth stocks,BUY: TQQQ-UPRO,0,0,0,0,0
2025-12-23,U,Open,0,0.0,125139.15,125139.15,0.0,0.00%,0.0,687.960022,23561.84375,SPX all time high on NVDA move. Choppy action still ,,0,0,0,0,0
2025-12-22,U,Open,0,0.0,125139.15,125139.15,0.0,0.00%,0.0,684.7199707,23428.83008,Market gaps up above 21e. Mixed actions around ,,0,0,0,0,0
2025-12-19,U,Open,0,0.0,125139.15,125139.15,0.0,0.00%,0.0,680.5900269,23307.61914,Market follows through on Quad Witching Day ,,0,0,0,0,0
2025-12-18,U,Open,0,0.0,125139.15,125139.15,0.0,0.00%,0.0,676.4699707,23006.36133,Market rebounds on great CPI Data. Still choppy,,0,0,0,0,0
2025-12-17,U,Open,0,0.0,125139.15,125139.15,0.0,0.00%,0.0,674.6799927,22850.30469,,,0,0,0,0,0
2025-12-16,U,Open,0,0.0,125139.15,125139.15,0.0,0.00%,0.0,674.664978,22852.45508,,,0,0,0,0,0
2025-12-15,U,Open,0,127401.84,0.0,125139.15,-2262.69,-1.78%,0.0,675.039978,22896.90234,,,0,0,0,0,0
